IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments,Date_check_Stats
FI,440,,1464,Equinix Helsinki (Equinix Helsinki),,Equinix Helsinki,Helsinki,Europe,2016-09-30T18:22:54Z,,,2019-08-07T13:04:58Z,https://www.equinix.fi/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/,,none,none
JP,695,,1468,Asia Smart IX (Asia Smart IX [BBIX Asia]),,Asia Smart IX [BBIX Asia],Tokyo,Asia Pacific,2016-10-05T09:14:49Z,,,2019-06-17T15:40:16Z,http://www.bbix.net/en,,,none,none
GB,598,2078,1469,UNIFI-IX (UNIFI-IX),Unifi-IX,UNIFI-IX,London,Europe,2016-10-05T09:48:17Z,20180000,0000-00-00,2019-06-17T15:28:10Z,http://unifi-ix.net,,,none,none
AR,623,1938,1480,NAP CABASE - Junin (NAP CABASE - Junin),CABASE IXP Junin,CABASE-JUN - IX Argentina (Junin),Junin,South America,2016-10-14T18:14:09Z,20150327,0000-00-00,2019-06-17T09:09:14Z,http://www.cabase.org.ar,,,none,none
AR,626,1937,1481,NAP CABASE - San Luis (NAP CABASE - San Luis),CABASE IXP San Luis,CABASE-SLU - IX Argentina (San Luis),San Luis,South America,2016-10-14T18:14:52Z,20141014,0000-00-00,2019-06-18T22:24:52Z,http://www.cabase.org.ar,http://www.cabase.org.ar,,none,none
AR,625,1939,1482,NAP CABASE - Pergamino (NAP CABASE - Pergamino),CABASE IXP Pergamino,CABASE-PER - IX Argentina (Pergamino),Pergamino,South America,2016-10-14T18:15:32Z,20151125,0000-00-00,2019-06-18T22:25:20Z,http://www.cabase.org.ar,,,none,none
AR,628,1940,1483,NAP CABASE - San Miguel de Tucum¨¢n (NAP CABASE - San Miguel de Tucum¨¢n),CABASE IXP Tucuman,CABASE-TUC - IX Argentina (Tucuman),Tucuman,South America,2016-10-14T18:16:11Z,20151124,0000-00-00,2019-06-18T22:23:10Z,http://www.cabase.org.ar,,,none,none
AR,795,1942,1484,CABASE-NGB - IX Argentina (Pilar),CABASE IXP Norte de Gran Buenos Aires,CABASE-NGB - IX Argentina (Pilar),Pilar,South America,2016-10-14T18:16:58Z,20160419,0000-00-00,2019-06-18T22:43:06Z,http://www.cabase.org.ar,http://www.cabase.org.ar,,none,none
AR,627,1941,1485,NAP CABASE - Saenz Pe??a (NAP CABASE - Saenz Pe??a),CABASE IXP Saenz Pe??a,CABASE-SZP - IX Argentina (Saenz Pe??a),Saenz Pe??a  Chaco,South America,2016-10-14T18:17:51Z,20160426,0000-00-00,2019-06-18T22:23:53Z,http://www.cabase.org.ar,,,none,none
AR,796,,1486,CABASE-SLT - IX Argentina (Salta),,CABASE-SLT - IX Argentina (Salta),Salta,South America,2016-10-14T18:18:27Z,,,2019-06-18T22:45:32Z,http://www.cabase.org.ar,,,none,none
AR,622,1822,1487,NAP CABASE - Bariloche (NAP CABASE - Bariloche),CABASE IXP Bariloche,CABASE-BRC - IX Argentina (Bariloche),Bariloche,South America,2016-10-14T18:19:22Z,20140915,0000-00-00,2019-06-18T12:20:05Z,http://www.cabase.org.ar,,,none,none
US,,,1488,,,Vegas-IX,Las Vegas,North America,2016-10-16T15:53:28Z,,,,http://www.vegas-ix.net,,,none,none
US,,,1489,,,Aloha-IX,Honolulu,North America,2016-10-16T15:54:56Z,,,,http://www.aloha-ix.net,,,none,none
US,,,1490,,,Richmond-IX,Richmond,North America,2016-10-16T15:56:10Z,,,,http://www.richmond-ix.net,,,none,none
MU,546,156,1508,mixp (Mauritius Internet eXchange Point),Mauritius Internet Exchange,MIXP,Ebene,Africa,2016-11-03T12:24:30Z,20051200,2019/7/15,2019-06-18T23:31:23Z,http://www.mixp.org/,http://www.mixp.org/,"['https://www.mixp.org/stats/aggregate-traffic-day.png', 'https://www.mixp.org/stats/aggregate-traffic-day.png']",none,none
CL,680,1931,1514,PIT Santiago - PIT Chile,PIT Chile - Santiago,PIT Santiago - PIT Chile,Santiago,South America,2016-11-11T11:54:40Z,20160701,2019/7/28,2019-06-19T01:36:55Z,http://www.pitchile.cl,http://www.pitchile.cl/wp/?page_id=37,"['https://www.pitchile.cl/graficos/SCL-day.png', 'https://www.pitchile.cl/graficos/SCL-day.png']",none,none
PL,540,,1516,IX.LODZ.PL (Lodz Telecommunication Node),,IX.LODZ.PL,??¨®d??,Europe,2016-11-13T17:51:15Z,,,2019-06-17T15:24:16Z,http://ix.lodz.pl,http://ix.lodz.pl/statystyki/,,none,none
US,778,350,1519,MidWest-IX - St. Louis,MidWest-IX - St. Louis,MidWest-IX - St. Louis,St. Louis  MO,North America,2016-11-17T15:14:16Z,20170119,0000-00-00,2019-06-16T20:14:39Z,http://www.midwest-ix.com,,"['http://ixpm.stl.midwest-ix.com/day.png', 'http://ixpm.stl.midwest-ix.com/day.png']",none,none
PY,,1946,1522,,Punto de Intercambio de Tr¨¢fico de Paraguay,IXpy,San Lorenzo,South America,2016-11-18T22:03:49Z,20160000,2019/7/28,,http://ix.py,http://monitor.ix.py,['http://ix.py/images/trafico_ixp.png'],none,none
RU,,,1533,,,inet2,Mowsow  St.Petersburg  Novosibirsk  Ekaterinburg,Europe,2016-11-30T15:06:45Z,,,,https://www.inet2.net/,,,none,none
KE,801,,1541,KIXP - Mombasa,,KIXP - Mombasa,Mombasa,Africa,2016-12-07T10:43:14Z,,,2019-06-19T00:19:16Z,https://www.tespok.co.ke/,,,none,none
PH,232,539,1561,PHOpenIX (Philippines Open Internet Exchange),Philippine Open Internet Exchange,PhOpenIX-Manila,Manila,Asia Pacific,2016-12-23T02:16:52Z,20070000,2019/7/28,2019-06-19T01:10:13Z,http://www.phopenix.net,http://www.phopenix.net/traffic,['http://phopenix.net/images/daily.png'],none,none
TZ,675,1912,1574,TIX Tanzania - Mwanza IXP (TIX Tanzania - Mwanza IXP),Mwanza Internet Exchange Point,TIX Tanzania - Mwanza,Mwanza,Africa,2017-01-03T13:00:29Z,20160601,2019/4/10,2019-06-17T15:35:48Z,http://www.tix.or.tz/,,"['https://stats.tix.or.tz/graphs/mixp_daily.png', 'https://stats.tix.or.tz/graphs/mixp_daily.png']",none,none
IN,617,1947,1577,IX Kolkata (IIFON IX Kolkata),IIFON IX Kolkata,IIFON IX Kolkata,Kolkata,Asia Pacific,2017-01-03T16:22:14Z,20160000,2019/5/3,2019-06-17T15:30:08Z,http://iifon.org,,,none,none
RU,,,1582,,,MegaFon-IX,Moscow,Europe,2017-01-09T11:49:17Z,,,,http://megafon.ru,,,none,none
