id,protocol,prefix
753,IPv4,196.223.5.0/24
555,IPv6,2001:43f8::/64
84,IPv4,198.32.213.0/24
85,IPv4,61.19.60.0/23
1527,IPv6,2001:c38:8000::/64
86,IPv4,
87,,
337,IPv4,185.1.132.0/24
1602,IPv6,2001:7f8:d6::/48
902,IPv4,196.223.25.0/25
487,IPv6,2001:43f8:0130::0/112
486,IPv4,194.153.153.0/25
805,IPv4,195.35.65.0/24
1365,IPv6, 2001:7f8:5d::/116
88,IPv4,195.5.49.0/24
89,IPv4,
90,IPv4,
683,IPv4,208.50.192.0/24
682,IPv6,2001:450:2007::/48
91,,
789,IPv4,206.126.236.0/22
449,IPv4,206.223.115.0/24
227,IPv4,206.223.137.0/24
1368,IPv6,2001:504:0:2::/64
808,IPv4,198.32.132.0/24
259,IPv6,2001:478:132::/64
92,,
743,IPv4,198.32.139.0/24
93,IPv4,198.32.181.0/24
94,IPv4,198.32.182.0/24
95,IPv4,198.32.183.0/24
985,IPv6,2001:504:10::/64
313,IPv4,198.32.196.0/24
314,IPv4,198.32.197.0/24
312,IPv4,198.32.174.0/24
684,IPv4,198.32.188.0/24
96,,
374,IPv4,198.32.249.0/24
625,IPv4,198.32.178.0/24
410,IPv6,2001:478:178::
97,IPv4,198.32.111.0/24
98,IPv4,198.32.112.0/24
99,IPv4,198.32.113.0/24
207,IPv4,206.220.240.0/24
208,IPv4,206.220.241.0/24
685,IPv4,198.32.130.0/24
686,IPv4,206.220.242.0/24
687,IPv4,206.220.243.0/24
688,IPv6,3ffe:3900:1::/64
342,IPv4,208.115.136.0/23
986,IPv6,2001:504:0:4::/64
228,IPv4,206.223.138.0/24
100,IPv4,198.32.140.0/24
101,IPv4,206.223.120.0/24
102,IPv4,206.223.121.0/24
103,IPv4,206.223.122.0/24
444,IPv4,206.220.240.0/24
401,IPv4,206.220.241.0/24
1316,IPv6,
343,IPv4,198.32.244.0/24
689,IPv4,206.82.108.0/24
1575,IPv6,2001:504:94::/64
690,IPv4,
104,,
691,IPv4,198.32.226.0/24
218,IPv4,206.223.118.0/24
1471,IPv6,2001:504:0:5::/64
105,IPv4,206.223.103.0/24
106,IPv4,206.223.114.0/24
107,IPv4,
108,IPv4,198.32.139.0/24
201,IPv4,198.32.114.0/24
202,IPv4,198.32.116.0/24
203,IPv4,198.32.115.0/24
221,IPv4,206.223.125.0/24
109,IPv4,
447,IPv4,198.32.216.0/24
448,IPv4,198.32.217.0/24
110,IPv4,198.32.102.0/24
111,IPv4,198.32.103.0/24
112,IPv4,198.32.104.0/24
113,IPv4,198.32.162.0/24
114,IPv4,198.32.163.0/24
457,IPv4,205.166.205.0/24
942,IPv6,
115,IPv4,198.32.228.0/24
116,,
692,IPv4,
117,IPv4,198.32.150.0/24
225,IPv4,206.223.129.0/24
118,,
693,IPv6,3ffe:0808::/48
375,IPv4,198.32.248.0/24
119,IPv4,
924,IPv4,198.32.146.0/24
253,IPv6,2001:504:a::/64
120,IPv4,198.32.146.0/24
121,IPv4,198.32.129.0/24
219,IPv4,
122,IPv4,198.32.241.0/24
123,IPv4,198.32.242.0/24
124,IPv4,198.32.243.0/24
125,,
126,,
411,IPv4,144.92.233.224/28
943,IPv6, 2607:f388:0:2200::/64
309,IPv4,198.32.16.0/24
224,IPv4,206.223.128.0/24
310,IPv4,198.32.252.0/24
409,IPv4,198.32.124.0/23
987,IPv6,2001:478:124::/48
129,IPv4,198.32.99.0/24
127,IPv4,198.32.100.0/24
128,IPv4,198.32.101.0/24
244,IPv4,
130,IPv4,198.9.201.0/24
131,IPv4,198.32.136.0/24
132,IPv4,198.32.184.0/24
133,IPv4,198.32.152.0/24
988,IPv6,
134,IPv4,
135,IPv4,198.32.168.0/24
136,IPv4,198.32.169.0/24
137,IPv4,198.32.42.0/24
138,IPv4,198.32.224.0/24
694,IPv6,3ffe:080c::/48
226,IPv4,206.223.131.0/24
230,IPv4,206.197.169.0/24
139,IPv4,198.32.166.0/24
695,IPv4,198.32.138.0/24
451,IPv4,198.32.160.0/24
989,IPv6,2001:504:1::/64
400,IPv4,198.32.238.0/24
140,IPv6,2001:0458:0026:2::/64
141,IPv4,198.32.161.0/24
142,IPv4,198.32.117.0/24
143,IPv4,198.32.118.0/24
144,IPv4,198.32.119.0/24
145,IPv4,198.32.220.0/24
146,IPv4,198.32.175.0/24
147,IPv4,198.32.177.0/24
241,IPv4,198.32.176.0/24
990,IPv6,2001:504:d::/64
148,IPv4,192.157.69.0/24
149,IPv4,198.32.105.0/24
150,IPv4,198.32.106.0/24
151,IPv4,198.32.107.0/24
