IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments (For IXP_Url_Stats; if the PCH_url is used; there will be an *),Date_check_Stats (For IXP_Url_Stats)
FI,23,69,98,FICIX - Helsinki (Finnish Communication and Internet Exchange - Helsinki),Finnish Communication and Internet Exchange Helsinki,FICIX 2 (Helsinki),Helsinki,Europe,2010-07-29T00:00:00Z,19930000,2013/3/20,2019-05-27T22:18:32Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,,OK,2019/7/11
RU,13,191,100,msk-ix (MSK-IX public peering VLAN),MSK-IX Moscow,MSK-IX Moscow,Moscow,Europe,2010-07-29T00:00:00Z,19951125,2016/6/6,2019-08-07T13:04:58Z,http://www.msk-ix.ru/en,http://www.msk-ix.ru/en/traffic,,OK,2019/7/11
RU,87,195,107,spb-ix (SPB-IX public peering VLAN),MSK-IX St. Petersburg,MSK-IX Saint-Petersburg,St.Petersburg,Europe,2010-07-29T00:00:00Z,20090000,2016/6/6,2019-07-04T14:10:04Z,http://www.msk-ix.ru/en/ix/spb,http://www.msk-ix.ru/en/traffic/,,OK,2019/7/11
IT,14,121,115,TOP-IX (Torino Piemonte Exchange Point),Torino Piemonte Exchange Point,TOP-IX,Turin,Europe,2010-07-29T00:00:00Z,20020400,2019/7/28,2019-08-07T13:04:58Z,http://www.top-ix.org,http://www.top-ix.org/traffic-summary,"['http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily', 'http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily']",OK,2019/7/11
BR,215,29,119,Equinix S??o Paulo,Equinix S??o Paulo,Equinix S??o Paulo,S??o Paulo,South America,2010-07-29T00:00:00Z,19980000,0000-00-00,2019-06-06T21:26:27Z,https://www.equinix.com,https://ix.equinix.com,,Not OK (No graph),2019/7/11
IT,17,,121,NAMEX (NAMEX Roma IXP),,NaMeX Rome IXP,Rome,Europe,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.namex.it,https://www.namex.it/statistics,,OK,2019/7/11
DE,78,556,123,KleyReX (KleyReX),KleyReX Internet Exchange,KleyReX,Frankfurt,Europe,2010-07-29T00:00:00Z,20020900,2011/2/1,2019-08-06T17:01:39Z,http://www.kleyrex.net/,http://www.kleyrex.net/stats.html,,Not OK (need to login),2019/7/11
US,256,286,127,OIX (Oregon Internet Exchange),Oregon Internet Exchange,Oregon Internet Exchange (OIX),Eugene  Oregon,North America,2010-07-29T00:00:00Z,0,0000-00-00,2019-06-17T14:41:01Z,http://www.oregon-ix.net/,http://www.oregon-ix.net/stat-frme.html,,Not OK (requested URL not found on the server),2019/7/11
SE,91,228,128,SOLIX - Stockholm (SOLIX),SOLIX,SOLIX,Stockholm,Europe,2010-07-29T00:00:00Z,20011200,2019/7/28,2019-05-28T06:09:22Z,https://www.sol-ix.net,,"['http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0', 'http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0']",*OK (Two links are the same),2019/8/8
JP,120,,145,JPNAP - Osaka (Japan Network Access Point - Osaka),,JPNAP Osaka,Osaka,Asia Pacific,2010-07-29T00:00:00Z,,,2019-06-17T14:04:42Z,https://www.jpnap.net/en/,https://www.jpnap.net/en/osaka/traffic.html,,OK,2019/7/11
US,223,369,155,SFMIX (San Francisco Metropolitan Internet Exchange),San Francisco Metropolitan Internet Exchange,SFMIX,San Francisco,North America,2010-07-29T00:00:00Z,20060500,2019/7/28,2019-06-19T01:29:11Z,https://www.sfmix.org/,https://sfmix.org/services/statistics,"['https://sfmix.org/static/img/daily.gif', 'https://sfmix.org/static/img/daily.gif']",*OK,2019/8/8
BR,791,,171,IX.br (PTT.br) S??o Paulo,,IX.br (PTT.br) S??o Paulo,S??o Paulo/SP,South America,2010-12-11T00:00:00Z,,,2019-06-17T21:05:12Z,http://ix.br,http://ix.br/trafego/agregado/sp,,OK,2019/7/11
SE,144,,172,STHIX - Stockholm (Stockholm Internet eXchange AB),,STHIX - Stockholm,Stockholm,Europe,2010-07-29T00:00:00Z,,,2019-08-07T12:01:37Z,http://www.sthix.net/,http://www.sthix.net/,,OK,2019/7/11
BR,158,1092,173,Porto Alegre (RS) (IX.br - Porto Alegre (RS)),Ponto de Troca de Trafego do Porto Alegre,IX.br (PTT.br) Porto Alegre,Porto Alegre/RS,South America,2010-12-11T00:00:00Z,20020400,2019/7/28,2019-06-17T20:23:16Z,http://ix.br,http://ix.br/trafego/agregado/rs,['http://old.ix.br/stats/133b7f1cd0adde227ab9f48e68a4b82f/rs/images/pix/agregado_bps-daily.png'],OK,2019/7/11
