IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
US,,336,81,,San Diego Network Access Point,SD-NAP,San Diego,North America,2010-07-29T00:00:00Z,19980200,0000-00-00,,http://www.sdsc.edu/sdnap/,,[None]
US,420,,82,PacificWave - Seattle (PacificWave Exchange in Seattle),,PacificWave,West Coast,North America,2010-07-29T00:00:00Z,,,2019-06-17T08:53:23Z,http://www.pacificwave.net/,,
NO,19,,83,NIX1 (Norwegian Internet eXchange),,NIX1,Oslo,Europe,2010-07-29T00:00:00Z,,,2019-05-27T21:21:42Z,https://www.nix.no,https://www.nix.no/statistics/,
SK,89,204,84,SIX Bratislava (Slovak Internet eXchange Bratislava),Slovak Internet eXchange Bratislava,SIX.SK,Bratislava,Europe,2010-07-29T00:00:00Z,19961000,2019/8/7,2019-07-30T14:01:23Z,http://www.six.sk,http://www.six.sk/stats,['https://www.six.sk/stats/aggregated-day.png']
NL,66,162,85,NDIX (Nederlands-Duitse Internet Exchange),Nederlands-Duitse Internet Exchange,NDIX,Enschede / M¨¹nster,Europe,2010-07-29T00:00:00Z,20010400,0000-00-00,2019-06-16T23:53:26Z,http://www.ndix.net,,
DE,21,80,87,BCIX (BCIX Management GmbH),Berlin Commercial Internet Exchange,BCIX,Berlin,Europe,2010-07-29T00:00:00Z,20020906,2019/7/28,2019-08-05T12:01:12Z,https://www.bcix.de/,https://www.bcix.de/bcix/traffic/,['https://www.bcix.de/ixp/bcix/ixp001-bits-day.png']
HK,331,,88,iAIX  (iAdvantage Internet Exchange),,iAIX,Hong Kong,Asia Pacific,2010-07-29T00:00:00Z,,,2019-06-18T12:01:05Z,http://www.iadvantage.net,,
US,267,,89,MadIX (Madison Internet eXchange Peering Point),,MadIX,Madison,North America,2010-07-29T00:00:00Z,,,2019-06-17T23:11:08Z,http://kb.wisc.edu/ns/page.php?id=6636,http://stats.net.wisc.edu/madix.html,
DE,340,82,91,ECIX-DUS,European Commercial Internet Exchange D¨¹sseldorf,ECIX-DUS,Duesseldorf,Europe,2010-07-29T00:00:00Z,20030000,2012/1/23,2019-06-16T23:59:22Z,https://www.ecix.net/,https://www.ecix.net/infrastructure/statistics,
JP,441,134,92,DIX-IE (Distributed IX in EDO),Network Service Provider IXP (Distributed IX in Edo),DIX-IE,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,19961000,2014/9/20,2019-06-18T22:09:54Z,http://nspixp.wide.ad.jp/,http://nspixp.wide.ad.jp/2/,
